stop_id,stop_code,stop_name,stop_desc,platform_code,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6891,6891,MAJOR MACKENZIE DR / WOODEND PL,,,43.840486,-79.581976,1,,0,,,2
6892,6892,MAJOR MACKENZIE DR / VIA CAMPANILE,,,43.841472,-79.576877,1,,0,,,1
6893,6893,VIA CAMPANILE / VIA BORGHESE,,,43.839615,-79.575918,1,,0,,,2
6894,6894,VIA CAMPANILE / MARIA ANTONIA DR,,,43.837537,-79.576148,1,,0,,,2
6895,6895,DAVOS RD / VIA CAMPANILE,,,43.833918,-79.577432,1,,0,,,2
6896,6896,DAVOS RD / VIA AVELLINO RD,,,43.833789,-79.579582,1,,0,,,2
6897,6897,DAVOS RD / MONTEVERDE WAY,,,43.833043,-79.58338,1,,0,,,1
6899,6899,POETRY DR / FLOURISH ST,,,43.84439,-79.572068,1,,0,,,2
6901,6901,POETRY DR / GARYSCHOLL RD,,,43.846706,-79.5738,1,,0,,,2
6904,6904,POETRY DR / GALLANT PL,,,43.848,-79.574717,1,,0,,,2
6910,6910,STANTON AV / SILVER STERLING CRES,,,43.851958,-79.574035,1,,0,,,2
6911,6911,STANTON AV / VIRTUE CRES,,,43.852527,-79.571482,1,,0,,,2
6907,6907,POETRY DR / STANTON AV,,,43.851392,-79.576184,1,,0,,,2
6932,6932,YORK DURHAM LINE / LORETTA CRES,,,43.97418,-79.221012,1,,0,,,2
6948,6948,TENTH LINE / HEMLOCK DR,,,43.980441,-79.232603,1,,0,,,2
6933,6933,MAIN ST / DONNA LEE TR,,,43.97616,-79.225119,1,,0,,,2
6935,6935,YORK DURHAM LINE / HOOVER PARK DR,,,43.971178,-79.220546,1,,0,,,1
6934,6934,MAIN ST / DONNA LEE TR,,,43.976389,-79.224907,1,,0,,,2
6954,6954,NAPA VALLEY AV / AMARONE AV,,,43.823545,-79.617759,1,,0,,,1
6955,6955,NAPA VALLEY AV / SUNSETRIDGE,NAPA VALLEY AV & SUNSET RIDGE,,43.822684,-79.621946,1,,0,,,2
6926,6926,MILLARD ST / WINLANE DR,,,43.973048,-79.267602,1,,0,,,2
6927,6927,MILLARD ST / WAITE CRES,MILLARD ST & WEST LAWN CR,,43.97447,-79.263129,1,,0,,,1
6939,6939,HOOVER PARK DR / GREENFOREST GR,,,43.968553,-79.226988,1,,0,,,2
6940,6940,HOOVER PARK DR / GREENFOREST GR,,,43.968584,-79.227487,1,,0,,,2
6941,6941,HOOVER PARK DR / TENTH LINE,HOOVER PARK RD & TENTH LINE,,43.968074,-79.229415,1,,0,,,2
